Name,Price
Hp Probook 4530s i5 2410M | RAM 4G | SSD 120GB | 15.6” HD | Card on,0đ
Hp Elitebook 8470p i5 3320M | RAM 4 GB | HDD 250G | 14.0” HD | Card on,
Hp Elitebook 8560p i5 2520M | RAM 4G | HDD 250GB | 15.6” HD | VGA RỜI AMD 6470M,
Hp Elitebook 8560p i5 2520M | RAM 4G | HDD 250GB | 15.6” HD | VGA RỜI AMD 6470M,
HP EliteBook 8470w Core i5-3320M |4GB RAM | 250GB HDD | 14.0″ HD | VGA AMD FIREPRO M2000,
Dell Latitude E6410 i5 520M | RAM 4 GB | HDD 250G | 14.0” HD | Card on,
HP 8560P I5 2520M | RAM4G | HDD 250G | 15.6″ | VGA Intel HD 3000,
HP Elitebook Workstation 8560W CORE I5-2540M | 4 GB | 320GB| Màn HD  |card 1000M,
Hp Elitebook 8460p i5 2520M | RAM 4 GB | HDD 250G | 14.0” HD | Card on,
Laptop Cũ Hp Elitebook 8570p i5 3320M | RAM 4G | HDD 250G | 15.6” HD | VGA RỜI AMD 7570M,0đ
Hp Elitebook 2560p i5 2520M | RAM 4G | HDD 250G | 12.5” FHD | On | VGA Khong Co,
Hp Elitebook 8560p i5 2520M | RAM 4G | HDD 250GB | 15.6” HD | VGA RỜI AMD 6470M,
Hp Elitebook 8470W Workstation i7 3520M | RAM 4GB | HDD 320GB | 14 Inches HD | Card rời AMD Firepro M2000,
Hp Elitebook 8460w i7 2620M |RAM 4G | 250G | 14.0″ | VGA ATI FirePro M3900,
Hp Elitebook 2570p i5 3320M | RAM 4G | HDD 250G | 12.5” HD | Card on,0đ
Dell Latitude E6220 | i5-2520M | Ram 4GB | 12.5 ich HD | Card On,
Hp Elitebook 8570p i7 3520M | RAM 4G | HDD 250G | 15.6” HD | VGA RỜI AMD 7570M,
Dell Latitude E6230 i5 3320M | RAM 4 GB | HDD 250G | 12.5” HD | Card on,
Laptop Cũ Hp Elitebook 8570w i7 3720QM/ 3740QM| RAM 8G | HDD 500G | 15.6” FullHD | VGA RỜI NVIDIA K1000M| K2000M,
Hp Elitebook 8470W Workstation i7 3520M | RAM 4GB | HDD 320GB | 14 Inches HD | Card rời AMD Firepro M2000,
Hp Elitebook Revolve 810 G1 i5 3437U | RAM 4G | SSD 128G | 11.6” HD cảm ứng | Card on,
Hp Elitebook 8560p i5 2520M | RAM 4G | HDD 250GB | 15.6” HD | VGA RỜI AMD 6470M,
Dell Latitude E6230 i5 3320M | RAM 4 GB | HDD 250G | 12.5” HD | Card on,
Hp Elitebook 8460w i5 2520M | RAM 4G | HDD 250G | 14.0 | VGA AMD FIREPRO 3900M,
Lenovo ThinkPad T431s i7*3687/8G/SSD240G/ 14.0″ HD  1600*900.,
Hp Elitebook 2570p i5 3320M | RAM 4G | HDD 250G | 12.5” HD | Card on,0đ
Hp Elitebook 8460p i5 2520M | RAM 4 GB | HDD 250G | 14.0” HD | Card on,
Laptop Cũ Hp Elitebook 8570p i5 3320M | RAM 4G | HDD 250G | 15.6” HD | VGA RỜI AMD 7570M,0đ
Laptop Cũ Hp Elitebook 8560p i7 2620M | RAM 4G | HDD 320G | 15.6” HD | VGA RỜI AMD 6470M,
Hp Elitebook 8470W Workstation i7 3520M | RAM 4GB | HDD 320GB | 14 Inches HD | Card rời AMD Firepro M2000,
Dell Latitude E6220 | i5-2520M | Ram 4GB | 12.5 ich HD | Card On,
Hp Elitebook Revolve 810 G1 i5 3437U | RAM 4G | SSD 128G | 11.6” HD cảm ứng | Card on,
HP Elitebook Workstation 8560W CORE I5-2540M | 4 GB | 320GB| Màn HD  |card 1000M,
Laptop Cũ Hp Elitebook Folio 9470m Ultrabook i5| RAM 4G | SSD 120GB | 14 Inches | Card on,3.900.000đ
Lenovo ThinkPad T431s i7*3687/8G/SSD240G/ 14.0″ HD  1600*900.,
Lenovo Thinkpad T431s i5 3337U | RAM 8 GB | SSD 256G | 14.0” HD  | Card on,
Hp Elitebook 8470p i5 3320M | RAM 4 GB | HDD 250G | 14.0” HD | Card on,
Laptop Cũ Hp Elitebook 8570w i7 3720QM/ 3740QM| RAM 8G | HDD 500G | 15.6” FullHD | VGA RỜI NVIDIA K1000M| K2000M,
Hp Elitebook 8470p i5 3320M | RAM 4 GB | HDD 250G | 14.0” HD | Card on,
Dell Latitude E6230 i5 3320M | RAM 4 GB | HDD 250G | 12.5” HD | Card on,
Hp Elitebook 8460w i5 2520M | RAM 4G | HDD 250G | 14.0 | VGA AMD FIREPRO 3900M,
Hp Elitebook 8460w i5 2520M | RAM 4G | HDD 250G | 14.0 | VGA AMD FIREPRO 3900M,
Dell Latitude E6410 i5 520M | RAM 4 GB | HDD 250G | 14.0” HD | Card on,
Laptop Cũ Hp Elitebook 8570w i7 3720QM/ 3740QM| RAM 8G | HDD 500G | 15.6” FullHD | VGA RỜI NVIDIA K1000M| K2000M,
Lenovo Thinkpad T430s Core i5-3320/4g/320g/ 14.0″HD,
Laptop Cũ Hp Probook 640 G1 i5 4300M | RAM 4G | SSD 120GB | 14.0” HD,0đ
Dell Latitude E6320 i5 2520M | RAM 4G | HDD 250G | 13.3” HD | Card on,
Dell Latitude E5530 i5 3210M | RAM 4 GB | SSD 120G | 15.6” HD | Card on,0đ
Dell Latitude E6330 i5 3320M | RAM 4 GB | HDD 250G | 13.3” HD | Card on,
Laptop Cũ Dell Latitude E6530 i5 3320M | RAM 4G | SSD 120GB | 15.6” HD | VGA RỜI NVIDIA NVS 5200M,0đ
